3300009517-bin.12_KBJPLPBP_00001	K04063
3300009517-bin.12_KBJPLPBP_00221	K07729
3300009517-bin.12_KBJPLPBP_00223	K02217
3300009517-bin.12_KBJPLPBP_00225	K02004
3300009517-bin.12_KBJPLPBP_00230	K03654
3300009517-bin.12_KBJPLPBP_00233	K01354
3300009517-bin.12_KBJPLPBP_00235	K01726
3300009517-bin.12_KBJPLPBP_00238	K02377
3300009517-bin.12_KBJPLPBP_00241	K23265
3300009517-bin.12_KBJPLPBP_00242	K11927
3300009517-bin.12_KBJPLPBP_00248	K00459
3300009517-bin.12_KBJPLPBP_00249	K04486
3300009517-bin.12_KBJPLPBP_00250	K01885
3300009517-bin.12_KBJPLPBP_00253	K02500
3300009517-bin.12_KBJPLPBP_00260	K01284
3300009517-bin.12_KBJPLPBP_00263	K01736
3300009517-bin.12_KBJPLPBP_00264	K02338
3300009517-bin.12_KBJPLPBP_00268	K00681
3300009517-bin.12_KBJPLPBP_00271	K03561
3300009517-bin.12_KBJPLPBP_00272	K03559
3300009517-bin.12_KBJPLPBP_00276	K19302
3300009517-bin.12_KBJPLPBP_00277	K02014
3300009517-bin.12_KBJPLPBP_00280	K00294
3300009517-bin.12_KBJPLPBP_00281	K01322
3300009517-bin.12_KBJPLPBP_00288	K06384
3300009517-bin.12_KBJPLPBP_00293	K03832
3300009517-bin.12_KBJPLPBP_00304	K00278
3300009517-bin.12_KBJPLPBP_00305	K02871
3300009517-bin.12_KBJPLPBP_00306	K02996
3300009517-bin.12_KBJPLPBP_00307	K02967
3300009517-bin.12_KBJPLPBP_00308	K02357
3300009517-bin.12_KBJPLPBP_00309	K03088
3300009517-bin.12_KBJPLPBP_00313	K03282
3300009517-bin.12_KBJPLPBP_00321	K00382
3300009517-bin.12_KBJPLPBP_00322	K07303
3300009517-bin.12_KBJPLPBP_00323	K07302
3300009517-bin.12_KBJPLPBP_00327	K02003
3300009517-bin.12_KBJPLPBP_00328	K02004
3300009517-bin.12_KBJPLPBP_00329	K02004
3300009517-bin.12_KBJPLPBP_00335	K02146
3300009517-bin.12_KBJPLPBP_00336	K10563
3300009517-bin.12_KBJPLPBP_00337	K02888
3300009517-bin.12_KBJPLPBP_00338	K02899
3300009517-bin.12_KBJPLPBP_00339	K03218
3300009517-bin.12_KBJPLPBP_00341	K01711
3300009517-bin.12_KBJPLPBP_00344	K09931
3300009517-bin.12_KBJPLPBP_00348	K05367
3300009517-bin.12_KBJPLPBP_00358	K01698
3300009517-bin.12_KBJPLPBP_00363	K01991
3300009517-bin.12_KBJPLPBP_00364	K03470
3300009517-bin.12_KBJPLPBP_00365	K00600
3300009517-bin.12_KBJPLPBP_00377	K11942
3300009517-bin.12_KBJPLPBP_00379	K02834
3300009517-bin.12_KBJPLPBP_00380	K14170
3300009517-bin.12_KBJPLPBP_00381	K06878
3300009517-bin.12_KBJPLPBP_00384	K03286
3300009517-bin.12_KBJPLPBP_00385	K02959
3300009517-bin.12_KBJPLPBP_00386	K02860
3300009517-bin.12_KBJPLPBP_00387	K00554
3300009517-bin.12_KBJPLPBP_00391	K17758
3300009517-bin.12_KBJPLPBP_00393	K07071
3300009517-bin.12_KBJPLPBP_00394	K03702
3300009517-bin.12_KBJPLPBP_00396	K15034
3300009517-bin.12_KBJPLPBP_00397	K22441
3300009517-bin.12_KBJPLPBP_00398	K00767
3300009517-bin.12_KBJPLPBP_00404	K03111
3300009517-bin.12_KBJPLPBP_00410	K00962
3300009517-bin.12_KBJPLPBP_00411	K02956
3300009517-bin.12_KBJPLPBP_00417	K03718
3300009517-bin.12_KBJPLPBP_00418	K07576
3300009517-bin.12_KBJPLPBP_00419	K01962
3300009517-bin.12_KBJPLPBP_00420	K20866
3300009517-bin.12_KBJPLPBP_00424	K01689
3300009517-bin.12_KBJPLPBP_00426	K01104
3300009517-bin.12_KBJPLPBP_00427	K15633
3300009517-bin.12_KBJPLPBP_00430	K01735
3300009517-bin.12_KBJPLPBP_00432	K21572
3300009517-bin.12_KBJPLPBP_00434	K00266
3300009517-bin.12_KBJPLPBP_00437	K00265
3300009517-bin.12_KBJPLPBP_00438	K23269
3300009517-bin.12_KBJPLPBP_00443	K03088
3300009517-bin.12_KBJPLPBP_00444	K07165
3300009517-bin.12_KBJPLPBP_00446	K21572
3300009517-bin.12_KBJPLPBP_00447	K18581
3300009517-bin.12_KBJPLPBP_00453	K07491
3300009517-bin.12_KBJPLPBP_00456	K00451
3300009517-bin.12_KBJPLPBP_00458	K01555
3300009517-bin.12_KBJPLPBP_00468	K05366
3300009517-bin.12_KBJPLPBP_00472	K07107
3300009517-bin.12_KBJPLPBP_00473	K07082
3300009517-bin.12_KBJPLPBP_00481	K00648
3300009517-bin.12_KBJPLPBP_00482	K20534
3300009517-bin.12_KBJPLPBP_00485	K20534
3300009517-bin.12_KBJPLPBP_00486	K19294
3300009517-bin.12_KBJPLPBP_00487	K00067
3300009517-bin.12_KBJPLPBP_00492	K07003
3300009517-bin.12_KBJPLPBP_00494	K01462
3300009517-bin.12_KBJPLPBP_00496	K15923
3300009517-bin.12_KBJPLPBP_00498	K00549
3300009517-bin.12_KBJPLPBP_00500	K07322
3300009517-bin.12_KBJPLPBP_00502	K03924
3300009517-bin.12_KBJPLPBP_00503	K03771
3300009517-bin.12_KBJPLPBP_00504	K03771
3300009517-bin.12_KBJPLPBP_00505	K06173
3300009517-bin.12_KBJPLPBP_00506	K07141
3300009517-bin.12_KBJPLPBP_00509	K09939
3300009517-bin.12_KBJPLPBP_00510	K02014
3300009517-bin.12_KBJPLPBP_00512	K02014
3300009517-bin.12_KBJPLPBP_00517	K02014
3300009517-bin.12_KBJPLPBP_00522	K02014
3300009517-bin.12_KBJPLPBP_00540	K09973
3300009517-bin.12_KBJPLPBP_00549	K03671
3300009517-bin.12_KBJPLPBP_00553	K00852
3300009517-bin.12_KBJPLPBP_00554	K03316
3300009517-bin.12_KBJPLPBP_00557	K06193
3300009517-bin.12_KBJPLPBP_00559	K19267
3300009517-bin.12_KBJPLPBP_00561	K03932
3300009517-bin.12_KBJPLPBP_00567	K02379
3300009517-bin.12_KBJPLPBP_00572	K02316
3300009517-bin.12_KBJPLPBP_00573	K01273
3300009517-bin.12_KBJPLPBP_00577	K18979
3300009517-bin.12_KBJPLPBP_00578	K06978
3300009517-bin.12_KBJPLPBP_00579	K06207
3300009517-bin.12_KBJPLPBP_00580	K03770
3300009517-bin.12_KBJPLPBP_00582	K02343
3300009517-bin.12_KBJPLPBP_00586	K00118
3300009517-bin.12_KBJPLPBP_00591	K06217
3300009517-bin.12_KBJPLPBP_00593	K02238
3300009517-bin.12_KBJPLPBP_00600	K07491
3300009517-bin.12_KBJPLPBP_00609	K08987
3300009517-bin.12_KBJPLPBP_00611	K00097
3300009517-bin.12_KBJPLPBP_00615	K09811
3300009517-bin.12_KBJPLPBP_00617	K06153
3300009517-bin.12_KBJPLPBP_00618	K03177
3300009517-bin.12_KBJPLPBP_00619	K11753
3300009517-bin.12_KBJPLPBP_00620	K03310
3300009517-bin.12_KBJPLPBP_00621	K09125
3300009517-bin.12_KBJPLPBP_00622	K06888
3300009517-bin.12_KBJPLPBP_00623	K17686
3300009517-bin.12_KBJPLPBP_00625	K01869
3300009517-bin.12_KBJPLPBP_00627	K00979
3300009517-bin.12_KBJPLPBP_00628	K03284
3300009517-bin.12_KBJPLPBP_00629	K03088
3300009517-bin.12_KBJPLPBP_00630	K07165
3300009517-bin.12_KBJPLPBP_00632	K21572
3300009517-bin.12_KBJPLPBP_00633	K19172
3300009517-bin.12_KBJPLPBP_00634	K01051
3300009517-bin.12_KBJPLPBP_00635	K01198
3300009517-bin.12_KBJPLPBP_00637	K03767
3300009517-bin.12_KBJPLPBP_00642	K03088
3300009517-bin.12_KBJPLPBP_00643	K07165
3300009517-bin.12_KBJPLPBP_00645	K21572
3300009517-bin.12_KBJPLPBP_00656	K03801
3300009517-bin.12_KBJPLPBP_00658	K01515
3300009517-bin.12_KBJPLPBP_00661	K01903
3300009517-bin.12_KBJPLPBP_00668	K01354
3300009517-bin.12_KBJPLPBP_00671	K01782
3300009517-bin.12_KBJPLPBP_00695	K02004
3300009517-bin.12_KBJPLPBP_00697	K02004
3300009517-bin.12_KBJPLPBP_00698	K02004
3300009517-bin.12_KBJPLPBP_00699	K02004
3300009517-bin.12_KBJPLPBP_00700	K02004
3300009517-bin.12_KBJPLPBP_00701	K02004
3300009517-bin.12_KBJPLPBP_00705	K02004
3300009517-bin.12_KBJPLPBP_00706	K02004
3300009517-bin.12_KBJPLPBP_00707	K02004
3300009517-bin.12_KBJPLPBP_00709	K02004
3300009517-bin.12_KBJPLPBP_00710	K02004
3300009517-bin.12_KBJPLPBP_00711	K02004
3300009517-bin.12_KBJPLPBP_00712	K02004
3300009517-bin.12_KBJPLPBP_00713	K02004
3300009517-bin.12_KBJPLPBP_00721	K01284
3300009517-bin.12_KBJPLPBP_00727	K03088
3300009517-bin.12_KBJPLPBP_00729	K03088
3300009517-bin.12_KBJPLPBP_00735	K02004
3300009517-bin.12_KBJPLPBP_00736	K02004
3300009517-bin.12_KBJPLPBP_00738	K00118
3300009517-bin.12_KBJPLPBP_00739	K02004
3300009517-bin.12_KBJPLPBP_00741	K02004
3300009517-bin.12_KBJPLPBP_00742	K02004
3300009517-bin.12_KBJPLPBP_00743	K02004
3300009517-bin.12_KBJPLPBP_00744	K02004
3300009517-bin.12_KBJPLPBP_00745	K02004
3300009517-bin.12_KBJPLPBP_00746	K02004
3300009517-bin.12_KBJPLPBP_00747	K02004
3300009517-bin.12_KBJPLPBP_00748	K02004
3300009517-bin.12_KBJPLPBP_00749	K02004
3300009517-bin.12_KBJPLPBP_00750	K02004
3300009517-bin.12_KBJPLPBP_00751	K02004
3300009517-bin.12_KBJPLPBP_00758	K02004
3300009517-bin.12_KBJPLPBP_00759	K01890
3300009517-bin.12_KBJPLPBP_00761	K09888
3300009517-bin.12_KBJPLPBP_00762	K18682
3300009517-bin.12_KBJPLPBP_00763	K02003
3300009517-bin.12_KBJPLPBP_00765	K13292
3300009517-bin.12_KBJPLPBP_00767	K01556
3300009517-bin.12_KBJPLPBP_00775	K06894
3300009517-bin.12_KBJPLPBP_00780	K01000
3300009517-bin.12_KBJPLPBP_00783	K01595
3300009517-bin.12_KBJPLPBP_00785	K00609
3300009517-bin.12_KBJPLPBP_00786	K08994
3300009517-bin.12_KBJPLPBP_00788	K01893
3300009517-bin.12_KBJPLPBP_00795	K12132
3300009517-bin.12_KBJPLPBP_00796	K20074
3300009517-bin.12_KBJPLPBP_00797	K12132
3300009517-bin.12_KBJPLPBP_00801	K00684
3300009517-bin.12_KBJPLPBP_00802	K07302
3300009517-bin.12_KBJPLPBP_00803	K07303
3300009517-bin.12_KBJPLPBP_00808	K03286
3300009517-bin.12_KBJPLPBP_00809	K15363
3300009517-bin.12_KBJPLPBP_00810	K09807
3300009517-bin.12_KBJPLPBP_00817	K07001
3300009517-bin.12_KBJPLPBP_00818	K07025
3300009517-bin.12_KBJPLPBP_00819	K07140
3300009517-bin.12_KBJPLPBP_00823	K13955
3300009517-bin.12_KBJPLPBP_00824	K06941
3300009517-bin.12_KBJPLPBP_00825	K10532
3300009517-bin.12_KBJPLPBP_00827	K02835
3300009517-bin.12_KBJPLPBP_00830	K06330
3300009517-bin.12_KBJPLPBP_00832	K02906
3300009517-bin.12_KBJPLPBP_00833	K02926
3300009517-bin.12_KBJPLPBP_00834	K02892
3300009517-bin.12_KBJPLPBP_00835	K02886
3300009517-bin.12_KBJPLPBP_00836	K02965
3300009517-bin.12_KBJPLPBP_00837	K02890
3300009517-bin.12_KBJPLPBP_00838	K02982
3300009517-bin.12_KBJPLPBP_00839	K02878
3300009517-bin.12_KBJPLPBP_00840	K02904
3300009517-bin.12_KBJPLPBP_00841	K02961
3300009517-bin.12_KBJPLPBP_00842	K02874
3300009517-bin.12_KBJPLPBP_00843	K02895
3300009517-bin.12_KBJPLPBP_00844	K02931
3300009517-bin.12_KBJPLPBP_00845	K02954
3300009517-bin.12_KBJPLPBP_00846	K02994
3300009517-bin.12_KBJPLPBP_00847	K02933
3300009517-bin.12_KBJPLPBP_00848	K02881
3300009517-bin.12_KBJPLPBP_00849	K02988
3300009517-bin.12_KBJPLPBP_00850	K02907
3300009517-bin.12_KBJPLPBP_00851	K02876
3300009517-bin.12_KBJPLPBP_00852	K03076
3300009517-bin.12_KBJPLPBP_00853	K01265
3300009517-bin.12_KBJPLPBP_00854	K02518
3300009517-bin.12_KBJPLPBP_00855	K02952
3300009517-bin.12_KBJPLPBP_00856	K02948
3300009517-bin.12_KBJPLPBP_00857	K02986
3300009517-bin.12_KBJPLPBP_00858	K03040
3300009517-bin.12_KBJPLPBP_00859	K02879
3300009517-bin.12_KBJPLPBP_00860	K01956
3300009517-bin.12_KBJPLPBP_00862	K03453
3300009517-bin.12_KBJPLPBP_00864	K02909
3300009517-bin.12_KBJPLPBP_00868	K07019
3300009517-bin.12_KBJPLPBP_00869	K03752
3300009517-bin.12_KBJPLPBP_00870	K06889
3300009517-bin.12_KBJPLPBP_00873	K12257
3300009517-bin.12_KBJPLPBP_00877	K01961
3300009517-bin.12_KBJPLPBP_00882	K07239
3300009517-bin.12_KBJPLPBP_00883	K18831
3300009517-bin.12_KBJPLPBP_00884	K19166
3300009517-bin.12_KBJPLPBP_00886	K02014
3300009517-bin.12_KBJPLPBP_00889	K15777
3300009517-bin.12_KBJPLPBP_00891	K06152
3300009517-bin.12_KBJPLPBP_00894	K03335
3300009517-bin.12_KBJPLPBP_00896	K03446
3300009517-bin.12_KBJPLPBP_00897	K03543
3300009517-bin.12_KBJPLPBP_00901	K07658
3300009517-bin.12_KBJPLPBP_00902	K03536
3300009517-bin.12_KBJPLPBP_00903	K02914
3300009517-bin.12_KBJPLPBP_00906	K06287
3300009517-bin.12_KBJPLPBP_00910	K07483
3300009517-bin.12_KBJPLPBP_00911	K07497
3300009517-bin.12_KBJPLPBP_00916	K03534
3300009517-bin.12_KBJPLPBP_00920	K03462
3300009517-bin.12_KBJPLPBP_00922	K00948
3300009517-bin.12_KBJPLPBP_00923	K22205
3300009517-bin.12_KBJPLPBP_00926	K10807
3300009517-bin.12_KBJPLPBP_00927	K03750
3300009517-bin.12_KBJPLPBP_00928	K07402
3300009517-bin.12_KBJPLPBP_00929	K22522
3300009517-bin.12_KBJPLPBP_00930	K01928
3300009517-bin.12_KBJPLPBP_00933	K01768
3300009517-bin.12_KBJPLPBP_00934	K07001
3300009517-bin.12_KBJPLPBP_00935	K18930
3300009517-bin.12_KBJPLPBP_00936	K02548
3300009517-bin.12_KBJPLPBP_00938	K01241
3300009517-bin.12_KBJPLPBP_00945	K01816
3300009517-bin.12_KBJPLPBP_00950	K09992
3300009517-bin.12_KBJPLPBP_00953	K11103
3300009517-bin.12_KBJPLPBP_00954	K02348
3300009517-bin.12_KBJPLPBP_00955	K03424
3300009517-bin.12_KBJPLPBP_00956	K22132
3300009517-bin.12_KBJPLPBP_00972	K01424
3300009517-bin.12_KBJPLPBP_00973	K03424
3300009517-bin.12_KBJPLPBP_00975	K08715
3300009517-bin.12_KBJPLPBP_00978	K02108
3300009517-bin.12_KBJPLPBP_00979	K02110
3300009517-bin.12_KBJPLPBP_00980	K02109
3300009517-bin.12_KBJPLPBP_00981	K02113
3300009517-bin.12_KBJPLPBP_00982	K01724
3300009517-bin.12_KBJPLPBP_00983	K05595
3300009517-bin.12_KBJPLPBP_00984	K10947
3300009517-bin.12_KBJPLPBP_00985	K03973
3300009517-bin.12_KBJPLPBP_00988	K18189
3300009517-bin.12_KBJPLPBP_00989	K01586
3300009517-bin.12_KBJPLPBP_00990	K01113
3300009517-bin.12_KBJPLPBP_00994	K15866
3300009517-bin.12_KBJPLPBP_00996	K03092
3300009517-bin.12_KBJPLPBP_00997	K01866
3300009517-bin.12_KBJPLPBP_00999	K00088
3300009517-bin.12_KBJPLPBP_01001	K07301
3300009517-bin.12_KBJPLPBP_01005	K01507
3300009517-bin.12_KBJPLPBP_01006	K02517
3300009517-bin.12_KBJPLPBP_01009	K03696
3300009517-bin.12_KBJPLPBP_01019	K07046
3300009517-bin.12_KBJPLPBP_01021	K03079
3300009517-bin.12_KBJPLPBP_01032	K02019
3300009517-bin.12_KBJPLPBP_01048	K20968
3300009517-bin.12_KBJPLPBP_01058	K01209
3300009517-bin.12_KBJPLPBP_01114	K06223
3300009517-bin.12_KBJPLPBP_01115	K06223
3300009517-bin.12_KBJPLPBP_01129	K03464
3300009517-bin.12_KBJPLPBP_01131	K06891
3300009517-bin.12_KBJPLPBP_01139	K03478
3300009517-bin.12_KBJPLPBP_01149	K01194
3300009517-bin.12_KBJPLPBP_01152	K13444
3300009517-bin.12_KBJPLPBP_01155	K04485
3300009517-bin.12_KBJPLPBP_01156	K03573
3300009517-bin.12_KBJPLPBP_01157	K00558
3300009517-bin.12_KBJPLPBP_01158	K01647
3300009517-bin.12_KBJPLPBP_01164	K08972
3300009517-bin.12_KBJPLPBP_01165	K06147
3300009517-bin.12_KBJPLPBP_01170	K02825
3300009517-bin.12_KBJPLPBP_01171	K01972
3300009517-bin.12_KBJPLPBP_01173	K00919
3300009517-bin.12_KBJPLPBP_01174	K00058
3300009517-bin.12_KBJPLPBP_01175	K07075
3300009517-bin.12_KBJPLPBP_01176	K07075
3300009517-bin.12_KBJPLPBP_01177	K03547
3300009517-bin.12_KBJPLPBP_01178	K03546
3300009517-bin.12_KBJPLPBP_01179	K09858
3300009517-bin.12_KBJPLPBP_01180	K03100
3300009517-bin.12_KBJPLPBP_01181	K00215
3300009517-bin.12_KBJPLPBP_01183	K03497
3300009517-bin.12_KBJPLPBP_01184	K03496
3300009517-bin.12_KBJPLPBP_01186	K00594
3300009517-bin.12_KBJPLPBP_01189	K02613
3300009517-bin.12_KBJPLPBP_01192	K04079
3300009517-bin.12_KBJPLPBP_01194	K00091
3300009517-bin.12_KBJPLPBP_01197	K06020
3300009517-bin.12_KBJPLPBP_01204	K09992
3300009517-bin.12_KBJPLPBP_01206	K07396
3300009517-bin.12_KBJPLPBP_01207	K06330
3300009517-bin.12_KBJPLPBP_01208	K06921
3300009517-bin.12_KBJPLPBP_01212	K09955
3300009517-bin.12_KBJPLPBP_01214	K03453
3300009517-bin.12_KBJPLPBP_01216	K23247
3300009517-bin.12_KBJPLPBP_01217	K01601
3300009517-bin.12_KBJPLPBP_01218	K21572
3300009517-bin.12_KBJPLPBP_01224	K00615
3300009517-bin.12_KBJPLPBP_01227	K10439
3300009517-bin.12_KBJPLPBP_01229	K10822
3300009517-bin.12_KBJPLPBP_01230	K10440
3300009517-bin.12_KBJPLPBP_01231	K00864
3300009517-bin.12_KBJPLPBP_01234	K08303
3300009517-bin.12_KBJPLPBP_01243	K03553
3300009517-bin.12_KBJPLPBP_01245	K00012
3300009517-bin.12_KBJPLPBP_01248	K19302
3300009517-bin.12_KBJPLPBP_01253	K01990
3300009517-bin.12_KBJPLPBP_01254	K01990
3300009517-bin.12_KBJPLPBP_01255	K01992
3300009517-bin.12_KBJPLPBP_01256	K01992
3300009517-bin.12_KBJPLPBP_01261	K00641
3300009517-bin.12_KBJPLPBP_01262	K01740
3300009517-bin.12_KBJPLPBP_01265	K01778
3300009517-bin.12_KBJPLPBP_01266	K02884
3300009517-bin.12_KBJPLPBP_01267	K00297
3300009517-bin.12_KBJPLPBP_01272	K01695
3300009517-bin.12_KBJPLPBP_01273	K01696
3300009517-bin.12_KBJPLPBP_01277	K07098
3300009517-bin.12_KBJPLPBP_01278	K03635
3300009517-bin.12_KBJPLPBP_01279	K10804
3300009517-bin.12_KBJPLPBP_01284	K16238
3300009517-bin.12_KBJPLPBP_01286	K01808
3300009517-bin.12_KBJPLPBP_01287	K06373
3300009517-bin.12_KBJPLPBP_01290	K14260
3300009517-bin.12_KBJPLPBP_01294	K14155
3300009517-bin.12_KBJPLPBP_01296	K09808
3300009517-bin.12_KBJPLPBP_01308	K08682
3300009517-bin.12_KBJPLPBP_01309	K01493
3300009517-bin.12_KBJPLPBP_01316	K01434
3300009517-bin.12_KBJPLPBP_01317	K01791
3300009517-bin.12_KBJPLPBP_01323	K06959
3300009517-bin.12_KBJPLPBP_01324	K00899
3300009517-bin.12_KBJPLPBP_01326	K02004
3300009517-bin.12_KBJPLPBP_01328	K02003
3300009517-bin.12_KBJPLPBP_01331	K06136
3300009517-bin.12_KBJPLPBP_01333	K01505
3300009517-bin.12_KBJPLPBP_01336	K02825
3300009517-bin.12_KBJPLPBP_01338	K00059
3300009517-bin.12_KBJPLPBP_01339	K00059
3300009517-bin.12_KBJPLPBP_01345	K03088
3300009517-bin.12_KBJPLPBP_01347	K06886
3300009517-bin.12_KBJPLPBP_01348	K06969
3300009517-bin.12_KBJPLPBP_01350	K03748
3300009517-bin.12_KBJPLPBP_01352	K00228
3300009517-bin.12_KBJPLPBP_01353	K15460
3300009517-bin.12_KBJPLPBP_01354	K03469
3300009517-bin.12_KBJPLPBP_01363	K22391
3300009517-bin.12_KBJPLPBP_01364	K07164
3300009517-bin.12_KBJPLPBP_01365	K01077
3300009517-bin.12_KBJPLPBP_01366	K00865
3300009517-bin.12_KBJPLPBP_01367	K05366
3300009517-bin.12_KBJPLPBP_01372	K03088
3300009517-bin.12_KBJPLPBP_01373	K23246
3300009517-bin.12_KBJPLPBP_01375	K01258
3300009517-bin.12_KBJPLPBP_01377	K18447
3300009517-bin.12_KBJPLPBP_01390	K01239
3300009517-bin.12_KBJPLPBP_01393	K02014
3300009517-bin.12_KBJPLPBP_01402	K07045
3300009517-bin.12_KBJPLPBP_01403	K07133
3300009517-bin.12_KBJPLPBP_01404	K00549
3300009517-bin.12_KBJPLPBP_01405	K08683
3300009517-bin.12_KBJPLPBP_01406	K12508
3300009517-bin.12_KBJPLPBP_01407	K20036
3300009517-bin.12_KBJPLPBP_01411	K03286
3300009517-bin.12_KBJPLPBP_01415	K03286
3300009517-bin.12_KBJPLPBP_01417	K21430
3300009517-bin.12_KBJPLPBP_01418	K19265
3300009517-bin.12_KBJPLPBP_01421	K07075
3300009517-bin.12_KBJPLPBP_01422	K07075
3300009517-bin.12_KBJPLPBP_01423	K07148
3300009517-bin.12_KBJPLPBP_01425	K21572
3300009517-bin.12_KBJPLPBP_01426	K02014
3300009517-bin.12_KBJPLPBP_01428	K21430
3300009517-bin.12_KBJPLPBP_01429	K01027
3300009517-bin.12_KBJPLPBP_01431	K20940
3300009517-bin.12_KBJPLPBP_01433	K07552
3300009517-bin.12_KBJPLPBP_01436	K00626
3300009517-bin.12_KBJPLPBP_01439	K18660
3300009517-bin.12_KBJPLPBP_01440	K01027
3300009517-bin.12_KBJPLPBP_01443	K00481
3300009517-bin.12_KBJPLPBP_01444	K14727
3300009517-bin.12_KBJPLPBP_01445	K01857
3300009517-bin.12_KBJPLPBP_01446	K00448
3300009517-bin.12_KBJPLPBP_01447	K00449
3300009517-bin.12_KBJPLPBP_01449	K18954
3300009517-bin.12_KBJPLPBP_01458	K02014
3300009517-bin.12_KBJPLPBP_01461	K00355
3300009517-bin.12_KBJPLPBP_01462	K15923
3300009517-bin.12_KBJPLPBP_01463	K21572
3300009517-bin.12_KBJPLPBP_01465	K07165
3300009517-bin.12_KBJPLPBP_01466	K03088
3300009517-bin.12_KBJPLPBP_01476	K05989
3300009517-bin.12_KBJPLPBP_01478	K11921
3300009517-bin.12_KBJPLPBP_01480	K07303
3300009517-bin.12_KBJPLPBP_01483	K00457
3300009517-bin.12_KBJPLPBP_01484	K00500
3300009517-bin.12_KBJPLPBP_01489	K00567
3300009517-bin.12_KBJPLPBP_01490	K00812
3300009517-bin.12_KBJPLPBP_01493	K17836
3300009517-bin.12_KBJPLPBP_01494	K03778
3300009517-bin.12_KBJPLPBP_01496	K22468
3300009517-bin.12_KBJPLPBP_01499	K02313
3300009517-bin.12_KBJPLPBP_01502	K01847
3300009517-bin.12_KBJPLPBP_01505	K00560
3300009517-bin.12_KBJPLPBP_01507	K21573
3300009517-bin.12_KBJPLPBP_01508	K21572
3300009517-bin.12_KBJPLPBP_01509	K21571
3300009517-bin.12_KBJPLPBP_01510	K21575
3300009517-bin.12_KBJPLPBP_01519	K03525
3300009517-bin.12_KBJPLPBP_01520	K06076
3300009517-bin.12_KBJPLPBP_01526	K07152
3300009517-bin.12_KBJPLPBP_01528	K03631
3300009517-bin.12_KBJPLPBP_01531	K13038
3300009517-bin.12_KBJPLPBP_01532	K03060
3300009517-bin.12_KBJPLPBP_01533	K05807
3300009517-bin.12_KBJPLPBP_01535	K09774
3300009517-bin.12_KBJPLPBP_01536	K00145
3300009517-bin.12_KBJPLPBP_01538	K01338
3300009517-bin.12_KBJPLPBP_01539	K04077
3300009517-bin.12_KBJPLPBP_01540	K04078
3300009517-bin.12_KBJPLPBP_01543	K03564
3300009517-bin.12_KBJPLPBP_01551	K07305
3300009517-bin.12_KBJPLPBP_01552	K22736
3300009517-bin.12_KBJPLPBP_01557	K05301
3300009517-bin.12_KBJPLPBP_01559	K03088
