,Bin,Abundance,Highest_Classf,Domain,Phylum,Class,Order,Family,Genus,Species
39,3300009517-bin.1,0.00264754,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Leadbetterella,
40,3300026302-bin.59,0.002366301,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
41,3300026288-bin.32,0.002365758,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
42,3300026302-bin.61,0.002293269,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CCB-MM2,
43,3300009517-bin.31,0.00222146,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
44,3300026302-bin.25,0.002053738,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,YEK0313,YEK0313,
45,3300009517-bin.47,0.002022504,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA6273,
46,3300009517-bin.7,0.001771368,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,
47,3300026302-bin.24,0.001752923,Chlorobi,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
48,3300009517-bin.42,0.001605095,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax,
49,3300026288-bin.34,0.001596013,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
50,3300026302-bin.27,0.001517743,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,
51,3300009517-bin.52,0.001244401,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,,
52,3300026288-bin.6,0.001169694,Armatimonadota,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
53,3300026303-bin.38,0.001162839,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium_A,
54,3300026288-bin.23,0.001126928,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ottowia,
55,3300026283-bin.19,0.001098664,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1312,
56,3300026289-bin.38,0.001093807,Rhodothermeota,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
57,3300026288-bin.30,0.001055342,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
